Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2022-11-30,57895.9921875,57895.9921875,56034.38472166399,56220.54546824759,19768903
2022-12-01,58268.3203125,58826.8026158147,57989.07916084265,58733.722231928914,16631445
2022-12-02,56220.55859375,58175.24688922807,56220.55859375,58175.24688922807,15331184
2022-12-05,56127.47265625,56872.11574290008,55848.23149875621,56685.95497123756,13767787
2022-12-06,55103.5859375,55941.30937236064,55103.5859375,55662.06822740709,13888300
2022-12-07,54824.34375,55475.90640916808,54452.02223047538,54731.263370118846,12100662
2022-12-08,55103.5859375,55103.5859375,54545.10364759291,54638.18402924409,12986815
2022-12-09,56220.55859375,56406.719383795535,55196.67424849959,55196.67424849959,10529632
2022-12-12,55382.83203125,55848.23398109244,55289.75164128152,55755.15359112395,9036472
2022-12-13,55568.98828125,56127.470575533924,55289.747134108045,55475.90789886935,9040873
2022-12-14,56313.6328125,56406.71319731405,55662.070118801654,55662.070118801654,8207485
2022-12-15,55196.66796875,56034.39142864671,55196.66796875,55662.069890914834,8716039
2022-12-16,55382.83203125,55382.83203125,54265.867351628156,54265.867351628156,13033596
2022-12-19,55382.83203125,55755.15359112395,55010.51047137605,55382.83203125,7696187
2022-12-20,54545.11328125,55010.51527170435,54452.03288315913,54917.434873613485,9284761
2022-12-21,53986.62109375,55010.505286907326,53986.62109375,54638.18376212284,10356971
2022-12-22,55010.5078125,55010.5078125,54079.703957804566,54079.703957804566,10720630
2022-12-23,54079.70703125,54358.9482035284,53707.38546821213,54172.78742200947,9829407
2022-12-26,53893.54296875,54079.70373893567,53707.38219856434,53986.623353842835,6756411
2022-12-27,54079.70703125,54358.9482035284,53893.546249731065,53986.62664049053,10667027
2022-12-28,53012.8828125,53949.50618374558,52825.55813825088,53949.50618374558,14665410
2022-12-29,51795.28515625,52638.24639749096,51795.28515625,52450.92167721519,11295935
2023-01-02,51982.60546875,52544.579581925675,51701.61841216216,51982.60546875,10031448
2023-01-03,51888.9375,52450.91155234657,51045.97642148015,51888.9375,13547030
2023-01-04,54136.8359375,54324.16062932526,52076.26432742215,52169.926673334776,20188071
2023-01-05,54511.48828125,55073.46238724227,53949.51417525773,54511.48828125,15682826
2023-01-06,55260.78515625,55635.434547139834,54230.49933130297,54605.1487221928,17334989
2023-01-09,56853.04296875,56853.04296875,55822.7571818369,55916.41952610173,18640107
2023-01-10,56572.0625,57227.69898592715,56103.75072433775,56384.737789735096,14859797
2023-01-11,56665.72265625,57321.35911673553,56478.397953254134,57134.03441373967,12310751
2023-01-12,56665.72265625,57321.35911673553,56103.748547262396,57227.696765237604,16102561
2023-01-13,56946.7109375,57321.3603515625,56572.0615234375,56665.723876953125,12510328
2023-01-16,57227.69140625,57696.003119885434,56946.70437806874,57415.01609170417,10039972
2023-01-17,57134.03515625,57602.34691982582,56759.38574538934,57321.35986168033,9831456
2023-01-18,56572.0625,57134.0366307947,56103.75072433775,56853.04956539735,11584041
2023-01-19,57602.34375,57602.34375,56572.05792682927,56665.720274390245,12808490
2023-01-20,57883.33203125,58351.64377907565,57227.695584294095,58164.31907994539,9646327
2023-01-25,59288.26171875,59662.91108190166,59007.27469638625,59475.586400325825,39217
2023-01-26,59756.58203125,59850.24438553096,59288.27025984522,59756.58203125,54188
2023-01-27,60505.8828125,60880.53224167957,59850.24631143576,60318.558097910216,44282
2023-01-30,59288.26171875,60786.859171356635,59100.93703717417,60786.859171356635,59628
2023-01-31,57508.6875,59662.9217223127,57134.03807003257,59475.59700732899,163847
2023-02-01,57134.03515625,58726.29515240779,57134.03515625,58632.63279969262,98585
2023-02-02,59475.59375,59850.24315944882,58632.63257874016,59194.60669291339,65992
2023-02-03,59475.59375,59943.90551181103,59007.28198818898,59850.24315944882,47567
2023-02-06,57696.0078125,59007.28071732955,57696.0078125,58819.95601663961,144104
2023-02-07,58070.66015625,58538.97193170363,57696.010735887096,57976.99780115927,32873
2023-02-08,59100.9375,59288.26218304279,58445.301109350235,58819.95047543581,42558
2023-02-09,59288.26171875,59288.26171875,58351.638310870854,59007.27469638625,48035
2023-02-10,58913.625,59007.2873608903,58445.313195548486,58632.63791732909,44786
2023-02-13,58913.625,59007.2873608903,58351.65083465818,58913.625,59395
2023-02-14,59194.60546875,59850.24192172666,59194.60546875,59569.254870450946,70606
2023-02-15,58257.97265625,59850.232359073554,58070.64798532958,59850.232359073554,58370
2023-02-16,59662.92578125,59662.92578125,58445.31505102041,58538.977414884226,41448
2023-02-17,58632.62890625,59288.26533171925,58445.30421325879,58913.61594573682,28613
2023-02-20,58726.296875,59007.28394138756,57883.33567583733,58913.621585925044,29846
2023-02-21,58164.31640625,58819.95282306764,58070.65406099034,58726.290477807976,60971
2023-02-22,57227.69140625,57883.327805339606,57134.02906352292,57602.34077715835,39178
2023-02-23,58070.66015625,58538.97193170363,57602.34838079637,57789.67309097782,37145
2023-02-24,57415.0234375,58632.63404873572,57415.0234375,58351.646984604406,50792
2023-02-27,56665.72265625,56946.7097107438,56384.7356017562,56946.7097107438,11155697
2023-02-28,56759.38671875,57508.68555332095,56665.72436442863,56946.71142739274,13715861
2023-03-02,56946.7109375,57883.33447265625,56665.723876953125,57040.373291015625,13095682
2023-03-03,56665.72265625,57321.35911673553,56665.72265625,57134.03441373967,10711405
2023-03-06,57602.34375,57696.006097560974,56946.707317073175,57227.6943597561,13630602
2023-03-07,56853.04296875,57508.67937860379,56853.04296875,57508.67937860379,11473280
2023-03-08,56478.3984375,56665.72314210199,56103.74902829602,56291.07373289801,14161857
2023-03-09,56291.0703125,56946.70673876872,56103.745619280366,56665.71969893927,14334499
2023-03-10,55729.10546875,55916.430193014705,55354.45602022059,55729.10546875,11902471
